Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
75665850,Clear Thinking: Turning Ordinary Moments into Extraordinary Results,Shane Parrish,"Parrish, Shane",,"=""0593086112""","=""9780593086124""",0,4.20,Portfolio,Kindle Edition,284,2023,,2024/06/20,2024/02/13,,,read,,,,1,0
1116212,"Rational Ritual: Culture, Coordination, and Common Knowledge",Michael Suk-Young Chwe,"Chwe, Michael Suk-Young",,"=""069100949X""","=""9780691009490""",0,3.34,Princeton University Press,Hardcover,,2001,2001,,2024/06/15,to-read,to-read (#65),to-read,,,,0,0
238558,A New Kind of Science,Stephen Wolfram,"Wolfram, Stephen",,"=""1579550088""","=""9781579550080""",0,3.62,"Wolfram Media, Inc.",Hardcover,1280,2002,2002,,2024/06/10,to-read,to-read (#64),to-read,,,,0,0
28025,"The Myth of the Eternal Return or, Cosmos and History",Mircea Eliade,"Eliade, Mircea",Willard R. Trask,"=""0691017778""","=""9780691017778""",0,4.23,Bollingen,Paperback,195,1974,1949,,2024/06/09,to-read,to-read (#63),to-read,,,,0,0
859808,Two Essays on Analytical Psychology (Collected Works 7),C.G. Jung,"Jung, C.G.","Gerhard Adler, R.F.C. Hull","=""0691017824""","=""9780691017822""",0,4.35,Princeton University Press,Paperback,369,1972,1953,,2024/06/09,to-read,to-read (#62),to-read,,,,0,0
22478,The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,"Jaynes, Julian",,"=""0618057072""","=""9780618057078""",0,4.26,Mariner Books,Paperback,491,2000,1976,,2024/06/09,to-read,to-read (#61),to-read,,,,0,0
3679100,Parallel Lives,Plutarch,"Plutarch, Plutarch","Arthur Hugh Clough, John Dryden","=""0394604075""","=""9780394604077""",0,4.16,Modern Library,Hardcover,1333,1977,100,,2024/06/08,to-read,to-read (#60),to-read,,,,0,0
369708,The Alchemy of Finance,George Soros,"Soros, George",Paul A. Volcker,"=""0471445495""","=""9780471445494""",0,3.74,Wiley,Paperback,391,2015,1987,,2024/06/07,to-read,to-read (#59),to-read,,,,0,0
55921207,1984 Nineteen Eighty-Four,George Orwell,"Orwell, George",,"=""0008322066""","=""9780008322069""",4,4.19,William Collins,Paperback,358,2021,1949,2024/06/02,2024/05/20,,,read,,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",5,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2023/12/23,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.10,Scholastic Press,Hardcover,390,2010,2010,,2024/06/01,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.33,Scholastic Press,Hardcover,391,2009,2009,,2024/06/01,,,read,,,,1,0
36382335,"Valley of Genius: The Uncensored History of Silicon Valley (As Told by the Hackers, Founders, and Freaks Who Made It Boom)",Adam  Fisher,"Fisher, Adam",,"=""1455559024""","=""9781455559022""",0,4.09,Twelve,Hardcover,512,2018,2018,,2024/05/30,to-read,to-read (#58),to-read,,,,0,0
30141085,Siddartha,Hermann Hesse,"Hesse, Hermann",,"=""""","=""""",5,4.07,,Paperback,131,,1922,,2024/03/11,,,read,,,,1,0
1166131,"The Recruit (Cherub, #1)",Robert Muchamore,"Muchamore, Robert",,"=""""","=""""",0,4.23,Simon Pulse,Paperback,342,2005,2004,,2024/03/30,,,read,"Read all the collection growing up. I think part of James is still locked up inside me somehow. Anyway, really enjoyable for a young audience (11).",,,1,0
45691904,"The Ages of Globalization: Geography, Technology, and Institutions",Jeffrey D. Sachs,"Sachs, Jeffrey D.",,"=""0231193742""","=""9780231193740""",0,3.88,Columbia University Press,Hardcover,280,2020,,,2024/05/23,to-read,to-read (#57),to-read,,,,0,0
584626,Stochastic Differential Equations: An Introduction with Applications (Universitext),Bernt Øksendal,"Øksendal, Bernt",,"=""3540047581""","=""9783540047582""",0,4.09,Springer,Paperback,406,2003,1985,2024/05/22,2024/05/22,,,read,,,,1,0
